Creature,CR,Category,Size,Type,Tag,SC,AL,Caster Level,Caster Type,AC,HP,#,d,adjustment,walk,burrow,climb,fly,swim,Str,Dex,Con,Int,Wis,Cha,MM,PHB,DMG,LMP,HDQ,ROT,POA,Basic,SRD,HDQ,ROT,DDEN1,DDEX1,POA,DDEN2,DDEX2,DDEN3,DDEX3
Swarm of Poisonous Snakes,2,Creature,Medium,Beast,Swarm,,U,,,14,36,8,8,,30,,,,30,8,18,11,1,10,3,338,,,,,,,46,385,,22,,,,,,,
Swarm of Quippers,1,Creature,Medium,Beast,Swarm,,U,,,13,28,8,8,-8,0,,,,40,13,16,9,1,7,2,338,,,,,,,46,385,,,,11:44,,,8:21,,"2:29, 9:30"
Swarm of Rats,0.25,Creature,Medium,Beast,Swarm,,U,,,10,24,7,8,-7,30,,,,,9,11,9,2,10,3,339,,,,,,,46,385,19,,,,,,"3:24, 10:27",,6:18
Swarm of Ravens,0.25,Creature,Medium,Beast,Swarm,,U,,,12,24,7,8,-7,10,,,50,,6,14,8,3,12,6,339,,,,,,,46,386,,22,,,,,6:35,,
Swarm of Wasps,0.5,Creature,Medium,Beast,Swarm,,U,,,12,22,5,8,,5,,,30,,3,13,10,1,7,1,338,,,,,,,45,386,18,,,,,,3:24,,
Talis the White,5,NPC,Medium,Humanoid,Half-Elf,,LE,9,C,18,58,9,8,18,30,,,,,14,12,14,10,16,16,,,,,93,,,,,,,,,,,,,
Tarrasque,30,Monster,Gargantuan,Monstrosity,Titan,,U,,,25,676,33,20,330,40,,,,,30,11,30,3,11,11,286,,,,,,,,353,,,,,,,,,
Three Crones,0.25,NPC,Medium,Humanoid,Human,,CN,1,C,12,9,2,8,,30,,,,,10,10,11,10,12,12,,,,,,,,,,,,,3:31,,,,,
Thri-kreen,1,Monster,Medium,Humanoid,Thri-kreen,,CN,,,15,33,6,8,6,40,,,,,12,15,13,8,12,7,288,,,,,,,,,,,,,,,,,
Thug,0.5,NPC,Medium,Humanoid,Any,,!G,,,11,32,5,8,10,30,,,,,15,11,14,10,10,11,350,,,,,,,55,397,,,,"1:10, 2:25, 4:23, 6:28, 9:31, 11:35, 13:30/32, 14:22",,,"1:19, 2:21, 3:22/23, 4:25, 5:24, 6:35, 8:21, 9:55",,"2:30, 5:24, 6:18, 9:27"
Thurl Merosska,3,NPC,Medium,Humanoid,Human,,LE,5,S,16,71,11,8,21,30,,,,,16,14,14,11,10,15,,,,,,,192,,,,,,,,51,,,
Tiamat,30,Monster,Gargantuan,Fiend,,,CE,,,25,615,30,20,300,60,,,120,,30,10,30,26,26,28,,,,,,92,,,,,,,,,,,,
Tiger,1,Creature,Large,Beast,,,U,,,12,37,5,10,10,40,,,,,17,15,14,3,12,8,339,311,,,,,,47,386,,,,,,,,,
Treant,9,Monster,Huge,Plant,,,CG,,,16,138,12,12,60,30,,,,,23,8,21,12,16,12,289,,,,,,,,354,,,,,,,,,7:29
Tribal Warrior,0.125,NPC,Medium,Humanoid,Any,,Any,,,12,11,2,8,2,30,,,,,13,11,12,8,11,8,350,,,,,,,,397,,23,,8:28,34,,,,
Triceratops,5,Monster,Huge,Beast,Dinosaur,,U,,,13,95,10,12,30,50,,,,,22,9,17,2,11,5,80,,,,,,,47,,,,,,,,,,
Tridrone,0.5,Monster,Medium,Construct,Modron,,LN,,,15,16,3,8,3,30,,,,,12,13,12,9,10,9,225,,,,,,,,,,,,,,,,,
Troglodyte,0.25,Monster,Medium,Humanoid,Troglodyte,,CE,,,11,13,2,8,4,30,,,,,14,10,14,6,10,6,290,,,,,,,,,19,,,,34,,"8:22, 11:22",,
Troll,5,Monster,Large,Giant,,,CE,,,15,84,8,10,40,30,,,,,18,13,20,7,9,7,291,,,,,,,47,354,19,23,,12:28,,,,,
Twig Blight,0.125,Monster,Small,Plant,,,NE,,,13,4,1,6,1,20,,,,,6,13,12,4,8,3,32,,,63,,,,47,,,,,,,,,,
Tyrannosaurus Rex,8,Monster,Huge,Beast,Dinosaur,,U,,,13,136,13,12,52,50,,,,,25,10,19,2,12,9,80,,,,,,,48,282,,,,,,,,,
Ultroloth,13,Monster,Medium,Fiend,Yugoloth,,NE,,,19,153,18,8,72,30,,,60,,16,16,18,18,15,19,314,,,,,,,,,,,,,,,,,4:47
Umber Hulk,5,Monster,Large,Monstrosity,,,CE,,,18,93,11,10,33,30,20,,,,20,13,16,9,10,10,292,,,,,,,,,,,,,35,,9:52,,8:27
Unicorn,5,Monster,Large,Celestial,,,LG,,,12,67,9,10,18,50,,,,,18,14,15,11,17,16,294,,,,,,,,354,,,,,,,,,
Vampire,13,Monster,Medium,Undead,Vampire,1,LE,,,16,144,17,8,68,30,,,,,18,18,18,17,15,18,297,,,,,,,,355,20,24,,,,,,,
Vampire Spawn,5,Monster,Medium,Undead,Vampire,,NE,,,15,82,11,8,33,30,,,,,16,16,16,11,10,12,298,,,,,,,,357,21,23,,,35,,,,
Vampiric Ixitxachitl,2,Monster,Medium,Aberration,,,CE,,,16,44,8,8,8,0,,,,30,14,18,13,12,13,7,,,,,,,,,,,,,,,,,61,
Vampiric Ixitxachitl Cleric,2,Monster,Medium,Aberration,,,CE,5,C,16,44,8,8,8,0,,,,30,14,18,13,12,13,7,,,,,,,,,,,,,,,,,61,
Vanifer,9,NPC,Medium,Humanoid,Tiefling,,NE,10,S,15,112,15,8,45,30,,,,,11,16,17,12,13,19,,,,,,,203,,,,,,,,,,,
Vanifer (in lair),12,NPC,Medium,Humanoid,Tiefling,,NE,10,S,15,112,15,8,45,30,,,,,11,16,17,12,13,19,,,,,,,203,,,,,,,,,,,
Veteran,3,NPC,Medium,Humanoid,Any,,Any,,,17,58,9,8,18,30,,,,,16,13,14,10,11,10,350,,,,,,,,398,21,,,"3:29, 10:36, 11:45, 14:22",35,,"2:24, 4:25, 8:22",,"2:29, 3:30, 8:24, 9:27"
Vine Blight,0.5,Monster,Medium,Plant,,,NE,,,12,26,4,8,8,10,,,,,15,8,14,5,10,3,32,,,,,,,,,,,,14:22,,,,,7:29
Violet Fungus,0.25,Monster,Medium,Plant,,,U,,,5,18,4,8,,5,,,,,3,1,10,1,3,1,138,,,,,,,,312,21,,,,36,,7:21,,
Vrock,6,Monster,Large,Fiend,Demon,,CE,,,15,104,11,10,44,40,,,60,,17,15,18,8,13,8,64,,,,,,,,276,,,,,36,,,,4:50
Vulture,0,Creature,Medium,Beast,,,U,,,10,5,1,8,1,10,,,50,,7,10,13,2,12,4,339,,,,,,,48,387,,,,,,,,,
Warhorse,0.5,Creature,Large,Beast,,,U,,,11,19,3,10,3,60,,,,,18,12,13,2,12,7,340,311,,,,,,48,387,,25,,,,,,,
Warhorse Skeleton,0.5,Monster,Large,Undead,,,LE,,,13,22,3,10,6,60,,,,,18,12,15,2,8,5,273,,,,,,,,349,,,,,,,,,
Warrior Vampire,15,Monster,Medium,Undead,Vampire,1,LE,,,18,144,17,8,68,30,,,,,18,18,18,17,15,18,298,,,,,,,,,,,,,,,,,
Water Elemental,5,Monster,Large,Elemental,,,N,,,14,114,12,10,48,30,,,,90,18,14,18,5,10,8,125,,,,,,,49,310,,25,,,,,3:25,,
Water Elemental Myrmidon,7,Monster,Medium,Elemental,,,N,,,18,127,17,8,51,40,,,,40,18,14,15,8,10,10,,,,,,,213,,,,,,,,,,,
Water Weird,3,Monster,Large,Elemental,,,N,,,13,58,9,10,9,0,,,,60,17,16,13,11,10,10,299,,,,,,,,,,,,,36,,"3:26, 8:22",,
Weasel,0,Creature,Tiny,Beast,,,U,,,13,1,1,4,-1,30,,,,,3,16,8,2,12,3,340,,,,,,,49,387,,,,,,,,,
Werebear,5,Monster,Medium,Humanoid,Human,1,NG,,,11,135,18,8,54,40,,30,,,19,10,17,11,12,12,208,,,,,,,,329,,,,,,,,,
Wereboar,4,Monster,Medium,Humanoid,Human,1,NE,,,11,78,12,8,24,30,,,,,17,10,15,10,11,8,209,,,,,,,,330,,,,,37,,,,
Wererat,2,Monster,Medium,Humanoid,Human,1,LE,,,12,33,6,8,6,30,,,,,10,15,12,11,10,8,209,,,,,,,,330,,,,,,,,,
Weretiger,4,Monster,Medium,Humanoid,Human,1,N,,,12,120,16,8,48,30,,,,,17,15,16,10,13,11,210,,,,,,,,331,,,,,,,,,
Werewolf,3,Monster,Medium,Humanoid,Human,1,CE,,,12,58,9,8,18,30,,,,,15,13,14,10,11,10,211,,,,,,,49,331,,,,,,,,,
White Dragon Wyrmling,2,Monster,Medium,Dragon,,,CE,,,16,32,5,8,10,30,15,,60,30,14,10,14,5,10,11,102,,,,,,,,293,,,,,,,,,
Wiggan Nettlebee,2,NPC,Small,Humanoid,Halfling,,NE,4,C,11,36,8,6,8,30,,,,,8,12,12,14,15,13,,,,,,,211,,,,,,,,,,,
Wight,3,Monster,Medium,Undead,,,NE,,,14,45,6,8,18,30,,,,,15,14,16,10,13,15,300,,,,,,,50,357,,26,,5:21,,,,,
Will-o'-Wisp,2,Monster,Tiny,Undead,,,CE,,,19,22,9,4,,0,,,50,,1,28,10,13,14,11,301,,,,,,,,358,22,,,"12:29, 14:22",37,,9:51,,7:32
Windharrow,3,NPC,Medium,Humanoid,Half-Elf,,NE,8,B,15,55,10,8,10,30,,,,,10,16,12,14,10,17,,,,,,,192,,,,,,,,,,,
Winged Kobold,0.25,Monster,Small,Monstrosity,Kobold,,LE,,,13,7,3,6,-3,30,,,30,,7,16,9,8,7,8,195,,,,,,,,,22,,,"5:20, 9:30, 11:45",,,,,
Winter Wolf,3,Creature,Large,Monstrosity,,,NE,,,13,75,10,10,20,50,,,,,18,13,14,7,12,8,340,,,,,,,50,387,,,,,,,9:53,,
Wolf,0.25,Creature,Medium,Beast,,,U,,,13,11,2,8,2,40,,,,,12,15,12,3,12,6,341,311,,63,,,,50,388,,26,,1:15/31,,,,,9:26
Worg,0.5,Creature,Large,Monstrosity,,,NE,,,13,26,4,10,4,50,,,,,16,13,13,7,11,8,341,,,,,,,51,388,,,,"1:15, 9:31, 13:31",,,,,5:26
Wraith,5,Monster,Medium,Undead,,,NE,,,13,67,9,8,27,0,,,60,,6,16,16,12,14,15,302,,,,,,,,358,,27,,,,,,,7:34
Wyvern,6,Monster,Large,Dragon,,,U,,,13,110,13,10,39,20,,,80,,19,10,16,5,12,6,303,,,,,,,51,359,22,,,"10:36, 13:31",,,,,
Xaxan Thavish,1,NPC,Medium,Humanoid,Human,,LE,4,C,12,22,5,8,,30,,,,,9,14,11,17,12,11,,,,,,,,,,,,,,,,8:19,,
Xorn,5,Monster,Medium,Elemental,,,N,,,19,73,7,8,42,20,20,,,,17,10,22,11,10,11,304,,,,,,,,359,,,,,38,,,,
Yan-C-Bin,18,Monster,Huge,Elemental,,,NE,,,22,283,21,12,147,50,,,150,,18,24,24,16,21,23,,,,,,,220,,,,,,,,,,,
Yeti,3,Monster,Large,Monstrosity,,,CE,,,12,51,6,10,18,40,,40,,,18,13,16,8,12,7,305,,,,,,,51,,,,,,,,"4:27, 9:53",,
Yochlol,10,Monster,Medium,Fiend,Demon,1,CE,,,15,136,16,8,64,30,,30,,,15,14,18,13,15,15,65,,,,,,,,,,,,,,,,,
Young Black Dragon,7,Monster,Large,Dragon,,,CE,,,18,127,15,10,45,40,,,80,40,19,14,17,12,11,15,88,,,,,,,,284,,,,12:29,,,,,
Young Blue Dragon,9,Monster,Large,Dragon,,,LE,,,18,152,16,10,64,40,20,,80,,21,10,19,14,13,17,91,,,,,,,,286,,,,,,,,,
Young Brass Dragon,6,Monster,Large,Dragon,,,CG,,,17,110,13,10,39,40,20,,80,,19,10,17,12,11,15,105,,,,,,,,295,,,,,,,,,
Young Bronze Dragon,8,Monster,Large,Dragon,,,LG,,,18,142,15,10,60,40,,,80,40,21,10,19,14,13,17,108,,,,,,,,298,,,,,,,,,
Young Copper Dragon,7,Monster,Large,Dragon,,,CG,,,17,119,14,10,42,40,,40,80,,19,12,17,16,13,15,111,,,,,,,,300,,,,,,,,,
Young Gold Dragon,10,Monster,Large,Dragon,,,LG,,,18,178,17,10,85,40,,,80,40,23,14,21,16,13,20,115,,,,,,,,303,,,,,,,,,
Young Green Dragon,8,Monster,Large,Dragon,,,LE,,,18,136,16,10,48,40,,,80,40,19,12,17,16,13,15,94,,,63,,,,52,288,,,,,,,,,
Young Purple Worm,5,Monster,Large,Monstrosity,,,U,,,14,93,11,10,33,30,20,,,,18,13,17,3,10,4,,,,,,,,,,,,,11:45,,,,,
Young Red Dragon,10,Monster,Large,Dragon,,,CE,,,18,178,17,10,85,40,,40,80,,23,10,21,14,11,19,98,,,,,,,,291,,,,,38,,,,
Young Red Shadow Dragon,13,Monster,Large,Dragon,,,CE,,,18,178,17,10,85,40,,40,80,,23,10,21,14,11,19,85,,,,,,,,,,,,,,,,,
Young Remorhaz,5,Monster,Large,Monstrosity,,,U,,,14,93,11,10,33,30,20,,,,18,13,17,3,10,4,258,,,,,,,,,,,,,,,9:54,,
Young Silver Dragon,9,Monster,Large,Dragon,,,LG,,,18,168,16,10,80,40,,,80,,23,10,21,14,11,19,118,,,,,,,,306,,,,,,,,,
Young White Dragon,6,Monster,Large,Dragon,,,CE,,,17,133,14,10,56,40,20,,80,40,18,10,18,6,11,12,101,,,,,,,,293,,,,,,,,,
Yuan-Ti Abomination,7,Monster,Large,Monstrosity,Yuan-Ti,1,NE,,,15,127,15,10,45,40,,,,,19,16,17,17,15,18,308,,,,,,,,,,27,,,,,,,
Yuan-Ti Malison,3,Monster,Medium,Monstrosity,Yuan-Ti,1,NE,,,12,66,12,8,12,30,,,,,16,14,13,14,12,16,309,,,,,,,,,23,28,,,,,,,
Yuan-Ti Pureblood,1,Monster,Medium,Humanoid,Yuan-Ti,,NE,,,11,40,9,8,,30,,,,,11,12,11,13,12,14,310,,,,,,,,,23,28,,,,,,,
Zombie,0.25,Monster,Medium,Undead,,,NE,,,8,22,3,8,9,20,,,,,13,6,16,3,6,5,316,311,,63,,,,52,359,,,,"1:21, 2:25, 4:23, 5:22",,,12:22,,
